key,name_ko,name_en,description,source_status,source_url
kongbijijjigae,콩비지찌개,Kongbijijjigae,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 57) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
bukeoguk,북어국,Bukeoguk,EPIS 레시피 DB 국 (RECIPE_ID 58) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
osaekjumeokbapdosirak,오색주먹밥도시락,Osaekjumeokbapdosirak,EPIS 레시피 DB 도시락/간식 (RECIPE_ID 60) · 재료 17종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
haeparinaengchae,해파리냉채,Haeparinaengchae,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 61) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
tongbaechugimchi,통배추김치,Tongbaechugimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 62) · 재료 13종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yeolmugimchi,열무김치,Yeolmugimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 63) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
oisobaki,오이소박이,Oisobaki,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 64) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
nabakgimchi,나박김치,Nabakgimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 65) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
chonggakgimchi,총각김치,Chonggakgimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 66) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gulkkakdugi,굴깍두기,Gulkkakdugi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 67) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dongchimi,동치미,Dongchimi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 68) · 재료 6종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gatgimchi,갓김치,Gatgimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 69) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kkotgejjigae,꽃게찌개,Kkotgejjigae,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 70) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gamjatang,감자탕,Gamjatang,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 71) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
agutang,아구탕,Agutang,EPIS 레시피 DB 국 (RECIPE_ID 72) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
jogimaeuntang,조기매운탕,Jogimaeuntang,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 73) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
altang,알탕,Altang,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 74) · 재료 15종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
ugeojidoenjangjjigae,우거지된장찌개,Ugeojidoenjangjjigae,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 75) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
syabeusyabeu,샤브샤브,Syabeusyabeu,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 76) · 재료 16종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
guksujeongol,국수전골,Guksujeongol,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 77) · 재료 13종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
nakjijeongol,낙지전골,Nakjijeongol,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 78) · 재료 17종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
seonjiguk,선지국,Seonjiguk,EPIS 레시피 DB 국 (RECIPE_ID 79) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gomtang,곰탕,Gomtang,EPIS 레시피 DB 국 (RECIPE_ID 81) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
seolreongtang,설렁탕,Seolreongtang,EPIS 레시피 DB 국 (RECIPE_ID 82) · 재료 7종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
doganitang,도가니탕,Doganitang,EPIS 레시피 DB 국 (RECIPE_ID 83) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kkorigomtang,꼬리곰탕,Kkorigomtang,EPIS 레시피 DB 국 (RECIPE_ID 84) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
galbitang,갈비탕,Galbitang,EPIS 레시피 DB 국 (RECIPE_ID 85) · 재료 7종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
buchugimchi,부추김치,Buchugimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 86) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
pagimchi,파김치,Pagimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 87) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
baekgimchi,백김치,Baekgimchi,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 88) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kkaetipjangajji,깻잎장아찌,Kkaetipjangajji,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 89) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
oijijangajjimuchim,오이지장아찌무침,Oijijangajjimuchim,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 90) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kongjaban,콩자반,Kongjaban,EPIS 레시피 DB 조림 (RECIPE_ID 91) · 재료 5종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
soegogijangjorim,쇠고기장조림,Soegogijangjorim,EPIS 레시피 DB 조림 (RECIPE_ID 92) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yeongeunjorim,연근조림,Yeongeunjorim,EPIS 레시피 DB 조림 (RECIPE_ID 93) · 재료 6종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
haemulpajeon,해물파전,Haemulpajeon,EPIS 레시피 DB 부침 (RECIPE_ID 94) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
oinamul,오이나물,Oinamul,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 95) · 재료 7종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
naengidoenjangjjigae,냉이된장찌개,Naengidoenjangjjigae,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 96) · 재료 6종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gyeranmali,계란말이,Gyeranmali,EPIS 레시피 DB 부침 (RECIPE_ID 97) · 재료 7종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dakgangjeong,닭강정,Dakgangjeong,EPIS 레시피 DB 튀김/커틀릿 (RECIPE_ID 98) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
baechugeotjeoli,배추겉절이,Baechugeotjeoli,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 99) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
deodeokgui,더덕구이,Deodeokgui,EPIS 레시피 DB 구이 (RECIPE_ID 100) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gamjajorim,감자조림,Gamjajorim,EPIS 레시피 DB 조림 (RECIPE_ID 101) · 재료 7종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
