key,name,name_ko,address,latitude,longitude,category,description,source_status,source_url,collected_at,collected_by,is_active,_keep,_rank,_area_m2,_dist_m,_permit_year,_phone,_lot_address
,,스피릿 코어 랩,"서울특별시 마포구 동교로32길 10, 1층 (연남동)",37.560625,126.924754,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,314,54.11,411,2026,,서울특별시 마포구 연남동 260-56
,,김숙성 홍대점,"서울특별시 마포구 홍익로3길 32, 1층 일부호 (서교동)",37.553086,126.921591,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,315,54.0,510,2024,,서울특별시 마포구 서교동 357-2
,,제주아홉 혼술바 서울홍대점,"서울특별시 마포구 동교로38안길 7, 지층 (연남동)",37.562189,126.924671,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,316,53.97,581,2025,,서울특별시 마포구 연남동 390-67
,,무채색,"서울특별시 마포구 연희로1길 38, 4층 (동교동)",37.560589,126.925807,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,317,53.77,446,2023,,서울특별시 마포구 동교동 113-24
,,야키토리 고꼬 연남,"서울특별시 마포구 성미산로26길 41, 1층 101호 (연남동)",37.562189,126.923476,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,318,53.45,579,2014,02-323-0723,서울특별시 마포구 연남동 257-7 1층 101호
,,주식회사 연남족발1987 연남본점,"서울특별시 마포구 동교로 222 (동교동,1층)",37.559802,126.923977,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,319,53.17,311,1992,023361085,서울특별시 마포구 동교동 152-23 1층
,,한솥도시락 홍대서교점,"서울특별시 마포구 와우산로29길 34, 1층 101호 (서교동)",37.555452,126.928254,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,320,53.12,502,2023,,서울특별시 마포구 서교동 328-22
,,뚝닭 홍대,"서울특별시 마포구 홍익로6길 44, 1층 (동교동)",37.556028,126.923989,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,321,53.04,108,2014,,서울특별시 마포구 동교동 164-19 1층
,,키친구 Keychingu,"서울특별시 마포구 와우산로 162-4, 1층 (서교동)",37.555182,126.930736,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,322,52.78,774,2016,,서울특별시 마포구 서교동 325-2
,,월강돼지국밥,서울특별시 마포구 동교로 241-1 (연남동),37.561589,126.924127,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,323,52.7,510,2002,02-325-4545,서울특별시 마포구 연남동 258-14
,,월강돼지국밥,서울특별시 마포구 동교로 241-1 (연남동),37.561589,126.924127,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,324,52.7,510,2002,02-325-4545,서울특별시 마포구 연남동 258-14
,,시실리,"서울특별시 마포구 성미산로 194, 대원빌딩 1층 일부호 (연남동)",37.562705,126.926381,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,325,52.65,686,2023,,서울특별시 마포구 연남동 227-22 대원빌딩
,,샵벤또,"서울특별시 마포구 어울마당로 98, 2층 (서교동)",37.553648,126.922289,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,326,52.42,418,2026,,서울특별시 마포구 서교동 358-67
,,미로식당,"서울특별시 마포구 와우산로30길 80 (창전동, 1층)",37.552055,126.927887,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,327,52.39,698,2011,,서울특별시 마포구 창전동 6-99 1층
,,샤브로21 연남,"서울특별시 마포구 양화로19길 22-13, 1층 101호 (동교동)",37.558868,126.924251,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,328,52.0,209,2022,,서울특별시 마포구 동교동 153-5
,,종로계림닭도리탕원조(연남점),"서울특별시 마포구 동교로38길 33, 지빌딩 1층 102호 (연남동)",37.561497,126.925734,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,329,52.0,535,2020,,서울특별시 마포구 연남동 390-35 지빌딩
,,육쌈냉면,"서울특별시 마포구 와우산로23길 35, 2층 (서교동)",37.554398,126.923458,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,330,51.69,295,1996,02-3142-0637,서울특별시 마포구 서교동 345-27
,,영천 얼큰 돼지국밥 마포구직영점,"서울특별시 마포구 와우산로27길 6, 1층 우측호 (서교동)",37.553915,126.927976,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,331,51.41,559,2026,,서울특별시 마포구 서교동 337-16
,,쟁반집8292,"서울특별시 마포구 와우산로29길 66 (서교동,(1층))",37.55631,126.926684,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,332,51.37,308,2001,02-326-2236,서울특별시 마포구 서교동 330-16 (1층)
,,쟁반집8292,"서울특별시 마포구 와우산로29길 66 (서교동,(1층))",37.55631,126.926684,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,333,51.37,308,2001,02-326-2236,서울특별시 마포구 서교동 330-16 (1층)
,,김덕후의곱창조홍대3호점,"서울특별시 마포구 양화로16길 21 (서교동, 1층일부)",37.553188,126.920783,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,334,50.94,554,2015,02-332-9997,서울특별시 마포구 서교동 355-12 1층일부
,,평화연남,"서울특별시 마포구 동교로 254-1, 1층 (연남동)",37.562507,126.924751,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,335,50.76,617,2021,,서울특별시 마포구 연남동 228-41
,,황곱,"서울특별시 마포구 어울마당로 149 (동교동, 1층)",37.556721,126.926387,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,336,50.42,267,2012,,서울특별시 마포구 동교동 170-23
,,더파이브올스,"서울특별시 마포구 와우산로29길 26-5 (서교동, 지하1층)",37.555458,126.928477,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,337,50.28,526,2009,02-322-3966,서울특별시 마포구 서교동 328-49
,,맛 김치 생삼겹살,"서울특별시 마포구 동교로27길 29, SJ2049 1층 (동교동)",37.559259,126.92192,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,338,50.0,341,2023,,서울특별시 마포구 동교동 204-9 SJ2049
,,낙곱새미장원홍대점,"서울특별시 마포구 월드컵북로4길 13 (동교동, 1층)",37.557104,126.92049,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,339,50.0,390,2011,,서울특별시 마포구 동교동 203-18
,,장독대,"서울특별시 마포구 월드컵북로5길 21, 1층 (서교동)",37.556887,126.917735,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,340,50.0,695,2019,,서울특별시 마포구 서교동 448-1
,,향미,"서울특별시 마포구 홍익로 3-24 (서교동, 지하1층)",37.55292,126.923335,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,341,49.98,459,2000,02-3141-3195,서울특별시 마포구 서교동 358-95
,,풍년식당,"서울특별시 마포구 동교로 264, 1층 (연남동)",37.563036,126.925372,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,342,49.84,687,2004,02-322-5818,서울특별시 마포구 연남동 228-21
